186,11下煤,11下煤,771.310,0.450,,,,,,,,,,
186,细粒砂岩,,949.060,177.750,,,,,,,,,,
186,12煤,12煤,950.250,1.190,,,,,,,,,,
186,泥岩,12煤,951.660,1.410,,,,,,,,,,
186,12煤,12煤,952.220,0.560,,,,,,,,,,
186,泥岩,12煤,952.440,0.220,,,,,,,,,,
186,12煤,12煤,952.910,0.470,,,,,,,,,,
186,泥岩,12煤,956.840,3.930,,,,,,,,,,
186,12煤,12煤,957.080,0.240,,,,,,,,,,
186,泥岩,12煤,957.720,0.640,,,,,,,,,,
186,12煤,12煤,957.830,0.110,,,,,,,,,,
186,泥岩,12煤,962.320,4.490,,,,,,,,,,
186,12煤,12煤,963.090,0.770,,,,,,,,,,
186,泥岩,12煤,963.410,0.320,,,,,,,,,,
186,12煤,12煤,964.230,0.820,,,,,,,,,,
186,泥岩,12煤,964.460,0.230,,,,,,,,,,
186,12煤,12煤,965.050,0.590,,,,,,,,,,
186,泥岩,12煤,968.120,3.070,,,,,,,,,,
186,12煤,12煤,968.850,0.730,,,,,,,,,,
186,泥岩,12煤,969.860,1.010,,,,,,,,,,
186,12煤,12煤,970.500,0.640,,,,,,,,,,
186,泥岩,12煤,970.700,0.200,,,,,,,,,,
186,12煤,12煤,971.410,0.710,,,,,,,,,,
186,泥岩,12煤,971.900,0.490,,,,,,,,,,
186,12煤,12煤,972.200,0.300,,,,,,,,,,
186,泥岩,12煤,972.710,0.510,,,,,,,,,,
186,12煤,12煤,973.410,0.700,,,,,,,,,,
186,泥岩,12煤,973.610,0.200,,,,,,,,,,
186,12煤,12煤,973.850,0.240,,,,,,,,,,
186,泥岩,12煤,974.610,0.760,,,,,,,,,,
186,12煤,12煤,974.810,0.200,,,,,,,,,,
186,泥岩,12煤,976.140,1.330,,,,,,,,,,
186,12煤,12煤,976.540,0.400,,,,,,,,,,
186,泥岩,12煤,976.680,0.140,,,,,,,,,,
186,12煤,12煤,976.970,0.290,,,,,,,,,,
186,泥岩,12煤,977.130,0.160,,,,,,,,,,
186,12煤,12煤,977.530,0.400,,,,,,,,,,
186,泥岩,12煤,977.800,0.270,,,,,,,,,,
186,12煤,12煤,978.620,0.820,,,,,,,,,,
186,泥岩,12煤,978.800,0.180,,,,,,,,,,
186,12煤,12煤,979.670,0.870,,,,,,,,,,
