BK176,粉砂岩,,130.500,15.500,  灰色，深灰色，粉砂状结构，块状构造，泥质胶结，均匀层理，含少量炭化植物碎屑。,BK153,泥岩,5煤,73.780,0.220,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,,86.950,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,90.440,0.680,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,71.850,1.080,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,砂质泥岩,,140.070,9.570,  灰色，泥质结构，块状构造，砂多以粉砂为主，分布不均一，断口平坦状，含炭化植物碎屑及茎叶化石。,BK153,煤,5煤,74.130,0.350,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,炭质泥岩,,87.120,0.170,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。,BK128,炭质泥岩,5煤,90.610,0.170,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。,BK122,煤,5煤,72.740,0.890,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,煤,6煤,140.570,0.500,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸2层,BK153,泥岩,5煤,74.410,0.280,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,,87.420,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,91.000,0.390,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,73.090,0.350,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,泥岩,6煤,140.840,0.270,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK153,煤,5煤,74.790,0.380,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,细砂岩,,87.810,0.390,,BK128,泥岩,5煤,91.280,0.280,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,74.750,1.660,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,煤,6煤,156.080,15.240,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸2层,BK153,泥岩,5煤,75.050,0.260,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,,88.290,0.480,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,91.580,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,75.470,0.720,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,细砂岩,6煤,156.580,0.500,灰绿色，主要成份石英，含少量的云母，长石，岩屑，分选差，含砾， 泥质胶结，半坚硬。,BK153,煤,5煤,75.460,0.410,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,泥岩,,90.150,1.860,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑，风化易碎。,BK128,泥岩,5煤,92.440,0.860,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK122,煤,5煤,77.160,1.690,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,煤,6煤,161.360,4.780,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸2层,BK153,泥岩,5煤,77.720,2.260,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,5煤,90.410,0.260,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,92.740,0.300,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,炭质泥岩,5煤,77.480,0.320,黑色、条带状结构、块状构造、含泥比重较大。
BK176,泥岩,,169.130,7.770,  深灰色，泥质结构，块状构造，断口平坦状，风化易碎，含少量炭化植物碎屑及茎叶化石。,BK153,5煤,5煤,78.150,0.430,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,炭质泥岩,5煤,90.700,0.290,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。,BK128,炭质泥岩,5煤,93.010,0.270,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。,BK122,煤,5煤,78.820,1.340,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
BK176,煤,6下煤,173.100,3.970,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，属暗淡型煤。,BK153,泥岩,5煤,78.290,0.140,  灰黑色，块状，泥质结构，见煤线，易碎，平坦状断口。,BK147,煤,5煤,91.630,0.930,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，属暗淡型煤，其中有炭质泥岩夹矸5层，泥岩夹矸4层，炭质泥岩夹矸8层。,BK128,煤,5煤,95.180,2.170,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，风化易碎，污手，局部见有黄铁矿薄膜，属暗淡型煤，其中有泥岩夹矸7层，炭质泥岩夹矸3层。,BK122,泥岩,5煤,79.510,0.690,  深灰色，泥质结构，细腻，松散，含炭屑，夹中砂岩薄层。
BK176,泥岩,,176.000,2.900,  深灰色，泥质结构，块状构造，断口平坦状，含炭屑及炭质条带。,BK153,5煤,5煤,78.570,0.280,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于84.35米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，,BK147,炭质泥岩,5煤,91.790,0.160,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。,BK128,炭质泥岩,5煤,95.670,0.490,深灰色，深灰色，泥质结构。块状构造。成分以泥质碎屑为主，含炭质 及少量炭屑，松软，易破碎。,BK122,煤,5煤,80.000,0.490,  黑色，块状，暗煤为主，夹亮煤条带，不易污手，条痕黑褐色，见植物茎化石，该层煤，煤质于68.85米处标志层为界限，以上煤质较差，煤层风氧化特征明显，泥质含量较高，标志层以下煤质较好，未见风氧化特征，
