BK015,5煤,5煤,90.730,0.330,BK016,泥岩,5煤,93.120,0.490,BK017,含炭泥岩,5煤,83.420,0.230,BK018,炭质泥岩,5煤,69.740,0.190,13-6,炭质泥岩,5煤,70.090,0.300,13-3,泥岩,6煤,191.470,0.500,13-8,砂质泥岩,,191.540,17.380,,,,,,,,,,,,,,,,13-4,泥岩,5煤,80.140,0.250,695,中砾岩,,51.500,2.240
BK015,泥岩,5煤,91.090,0.360,BK016,5煤,5煤,96.530,3.410,BK017,5煤,5煤,85.990,2.570,BK018,5煤,5煤,71.900,2.160,13-6,5煤,5煤,70.640,0.550,13-3,6煤,6煤,192.970,1.500,13-8,含砾泥岩,,193.020,1.480,,,,,,,,,,,,,,,,13-4,5煤,5煤,85.740,5.600,695,泥岩,,52.670,1.170
BK015,5煤,5煤,91.510,0.420,BK016,含炭泥岩,5煤,96.890,0.360,BK017,含炭泥岩,5煤,86.430,0.440,BK018,炭质泥岩,5煤,72.120,0.220,13-6,炭质泥岩,5煤,70.840,0.200,13-3,泥岩,6煤,193.270,0.300,13-8,泥岩,,201.640,8.620,,,,,,,,,,,,,,,,13-4,泥岩,,102.040,16.300,695,粉砂岩,,53.460,0.790
BK015,泥岩,5煤,91.820,0.310,BK016,5煤,5煤,97.330,0.440,BK017,5煤,5煤,88.490,2.060,BK018,5煤,5煤,72.420,0.300,13-6,5煤,5煤,72.990,2.150,13-3,6煤,6煤,193.770,0.500,13-8,含砾泥岩,,205.720,4.080,,,,,,,,,,,,,,,,13-4,煤,,102.240,0.200,695,泥岩,,57.900,4.440
BK015,5煤,5煤,92.630,0.810,BK016,含炭泥岩,5煤,97.870,0.540,BK017,含炭泥岩,5煤,88.780,0.290,BK018,炭质泥岩,5煤,72.550,0.130,13-6,泥岩,5煤,73.240,0.250,13-3,泥岩,6煤,194.070,0.300,13-8,细砾岩,,213.320,7.600,,,,,,,,,,,,,,,,13-4,粉砂岩,,106.040,3.800,695,粉砂岩,,59.300,1.400
BK015,泥岩,5煤,94.560,1.930,BK016,5煤,5煤,98.900,1.030,BK017,5煤,5煤,90.490,1.710,BK018,5煤,5煤,73.750,1.200,13-6,5煤,5煤,74.190,0.950,13-3,6煤,6煤,194.370,0.300,13-8,含砾泥岩,,226.950,13.630,,,,,,,,,,,,,,,,13-4,煤,,106.240,0.200,695,泥岩,,61.450,2.150
BK015,5煤,5煤,94.920,0.360,BK016,泥岩,5煤,99.220,0.320,BK017,含炭泥岩,5煤,90.960,0.470,BK018,炭质泥岩,5煤,74.160,0.410,13-6,炭质泥岩,5煤,74.290,0.100,13-3,泥岩,6煤,194.770,0.400,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,109.040,2.800,695,粉砂岩,,61.850,0.400
BK015,泥岩,5煤,95.690,0.770,BK016,5煤,5煤,102.680,3.460,BK017,5煤,5煤,91.940,0.980,BK018,5煤,5煤,75.680,1.520,13-6,泥岩,5煤,74.440,0.150,13-3,6煤,6煤,195.470,0.700,,,,,,,,,,,,,,,,,,,,,13-4,5下煤,5下煤,112.340,3.300,695,泥岩,,63.860,2.010
BK015,5煤,5煤,96.400,0.710,BK016,含炭泥岩,5煤,103.020,0.340,BK017,泥岩,5煤,92.220,0.280,BK018,炭质泥岩,5煤,76.280,0.600,13-6,5煤,5煤,75.240,0.800,13-3,砂质泥岩,,214.830,19.360,,,,,,,,,,,,,,,,,,,,,13-4,粉砂岩,,113.640,1.300,695,5煤,5煤,64.500,0.640
BK015,泥岩,5煤,96.660,0.260,BK016,5煤,5煤,104.360,1.340,BK017,5煤,5煤,92.780,0.560,BK018,5煤,5煤,77.110,0.830,13-6,泥岩,,76.740,1.500,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,泥岩,,136.940,23.300,695,泥岩,5煤,65.780,1.280
BK015,5煤,5煤,99.680,3.020,BK016,泥岩,5煤,104.590,0.230,BK017,含炭泥岩,5煤,92.960,0.180,BK018,炭质泥岩,5煤,77.340,0.230,13-6,细粒砂岩,,84.890,8.150,,,,,,,,,,,,,,,,,,,,,,,,,,13-4,6-1煤,6-1煤,139.140,2.200,695,砂质泥岩,5煤,66.090,0.310
