8-3,6УК,6УК,203.170,12.910,BK003,6УК,6УК,123.920,2.910,8-1,ЬПжЪФрбв,,142.410,1.000
8-3,Фрбв,6УК,203.470,0.300,BK003,КЌЬПФрбв,6УК,124.200,0.280,8-1,ЗлЩАбв,,143.270,0.860
8-3,6УК,6УК,211.470,8.000,BK003,6УК,6УК,127.300,3.100,8-1,ЬПжЪФрбв,,145.670,2.400
8-3,Фрбв,6УК,221.770,10.300,BK003,КЌЬПФрбв,6УК,127.590,0.290,8-1,Фрбв,,149.220,3.550
8-3,6УК,6УК,224.570,2.800,BK003,6УК,6УК,127.900,0.310,8-1,6УК,6УК,149.470,0.250
8-3,Фрбв,6УК,224.870,0.300,BK003,Фрбв,6УК,128.280,0.380,8-1,Фрбв,6УК,150.020,0.550
8-3,6УК,6УК,235.090,10.220,BK003,6УК,6УК,134.640,6.360,8-1,6УК,6УК,151.420,1.400
8-3,ЗлЩАбв,,247.340,12.250,BK003,Фрбв,6УК,134.960,0.320,8-1,Фрбв,6УК,151.570,0.150
,,,,,BK003,6УК,6УК,139.520,4.560,8-1,6УК,6УК,152.270,0.700
,,,,,BK003,КЌЬПФрбв,6УК,139.790,0.270,8-1,Фрбв,6УК,152.370,0.100
,,,,,BK003,6УК,6УК,140.300,0.510,8-1,6УК,6УК,153.170,0.800
,,,,,BK003,Фрбв,6УК,140.650,0.350,8-1,Фрбв,6УК,153.270,0.100
,,,,,BK003,6УК,6УК,141.550,0.900,8-1,6УК,6УК,157.870,4.600
,,,,,BK003,Фрбв,6УК,142.830,1.280,8-1,Фрбв,6УК,158.070,0.200
,,,,,BK003,6УК,6УК,143.860,1.030,8-1,6УК,6УК,189.780,31.710
,,,,,BK003,КЌЬПФрбв,6УК,144.180,0.320,8-1,Фрбв,6УК,189.930,0.150
,,,,,BK003,6УК,6УК,144.540,0.360,8-1,6УК,6УК,190.230,0.300
,,,,,BK003,ЗлЩАбв,,148.540,4.000,8-1,Фрбв,6УК,190.380,0.150
,,,,,,,,,,8-1,ЬПжЪФрбв,6УК,191.180,0.800
,,,,,,,,,,8-1,6УК,6УК,192.280,1.100
,,,,,,,,,,8-1,Фрбв,6УК,192.380,0.100
,,,,,,,,,,8-1,6ЯТУК,6УК,192.780,0.400
,,,,,,,,,,8-1,ЗлЩАбв,,208.030,15.250
