538,砂质砾岩,,266.000,3.300,225,细粒砂岩,,225.360,9.330,BK217,泥岩,5煤,82.260,0.250,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5下煤,5下煤,78.990,0.410,BK218,泥岩,,111.200,13.000,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑及茎叶化石，局部夹粉砂岩薄层，松软。,,,,,
538,泥岩,,273.600,7.600,225,8煤,8煤,226.000,0.640,BK217,煤,5煤,83.500,1.240,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,泥岩,5下煤,79.140,0.150,BK218,粉砂岩,,113.000,1.800,  灰白色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，合炭屑，松软。,,,,,
538,中粒砂岩,,274.600,1.000,225,泥岩,,227.800,1.800,BK217,泥岩,5煤,83.760,0.260,  深灰色，泥质结构，块状构造，断口参差状，局部见细小炭化植物碎屑，风化易碎，松软。,224,5下煤,5下煤,79.250,0.110,BK218,泥岩,,116.200,3.200,  黑灰色，泥质结构，块状构造，断口平坦状，细腻，质纯，有滑感，风化后呈页片状，半坚硬。,,,,,
538,泥岩,,280.100,5.500,225,9煤,9煤,228.520,0.720,BK217,煤,5煤,84.180,0.420,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸4层。,224,泥岩,5下煤,79.450,0.200,BK218,煤,5下煤,117.050,0.850,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
538,砂质泥岩,,280.250,0.150,225,泥岩,,380.270,151.750,BK217,泥岩,,88.830,4.650,  黑灰色，泥质结构，块状构造，断口不规则状，含炭质，细腻，风化易碎，松软。,224,5下煤,5下煤,79.840,0.390,BK218,炭质泥岩,5下煤,117.380,0.330,炭质泥岩:灰色，坚硬，具外生裂隙，砾径5-30mm,,,,,
538,泥岩,,294.770,1.750,225,11煤,11煤,380.440,0.170,BK217,砂质泥岩,,109.100,20.270,  灰色，泥质结构，块状构造，断口平坦状，风化易碎，砂多以细砂为主，分布不均一，局部夹细砂岩薄层，半坚硬。,224,泥岩,5下煤,80.100,0.260,BK218,煤,5下煤,117.750,0.370,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
538,5煤,5煤,294.890,0.120,225,泥岩,11煤,380.560,0.120,BK217,煤,5下煤,110.260,1.160,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸1层。煤,224,5下煤,5下煤,80.370,0.270,BK218,泥岩,5下煤,118.090,0.340,  黑灰色，泥质结构，块状构造，断口平坦状，细腻，质纯，有滑感，风化后呈页片状，半坚硬。,,,,,
538,泥岩,5煤,295.120,0.230,225,11煤,11煤,381.350,0.790,BK217,泥岩,5下煤,110.440,0.180,  黑灰色，泥质结构，块状构造，断口不规则状，含炭质，细腻，风化易碎，松软。,224,细粒砂岩,,98.360,17.990,BK218,煤,5下煤,118.680,0.590,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
538,5煤,5煤,296.250,1.130,225,,,564.860,183.510,BK217,煤,5下煤,110.750,0.310,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸1层。煤,224,6煤,6煤,121.710,23.350,BK218,泥岩,,129.260,10.580,  深灰色，泥质结构，块状构造，断口参差状，含炭化植物碎屑及茎叶化石，风化后呈碎块状，半坚硬。,,,,,
538,泥岩,5煤,298.040,1.790,225,12煤,12煤,565.610,0.750,BK217,粉砂岩,,112.540,1.790,  灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，和炭化植物碎屑及茎叶化石，半坚硬。,224,细粒砂岩,,123.900,2.190,BK218,煤,6煤,148.750,19.490,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。,,,,,
