12-4,泥岩,,154.700,3.010,12-6,6煤,6煤,161.170,0.400,BK014,粉砂岩,,109.120,5.370,12-1,5煤,5煤,102.110,1.480,12-2,细粒砂岩,,85.780,1.460,12-7,泥岩,6煤,188.580,0.400,740,6煤,6煤,139.420,0.430,12-3,泥岩,6煤,166.190,0.300,700,泥岩,5煤,55.030,0.080
12-4,煤,,154.950,0.250,12-6,泥岩,6煤,161.670,0.500,BK014,5下煤,,110.880,1.760,12-1,炭质泥岩,5煤,102.310,0.200,12-2,粗粒砂岩,,96.170,10.390,12-7,6煤,6煤,189.780,1.200,740,泥岩,6煤,140.670,1.250,12-3,6煤,6煤,166.440,0.250,700,5煤,5煤,56.790,1.760
12-4,泥岩,,155.400,0.450,12-6,6煤,6煤,171.470,9.800,BK014,泥岩,,131.830,20.950,12-1,5煤,5煤,102.460,0.150,12-2,5下煤,5下煤,98.120,1.950,12-7,砂质泥岩,,206.360,16.580,740,6煤,6煤,141.470,0.800,12-3,泥岩,6煤,166.740,0.300,700,泥岩,5煤,56.860,0.070
12-4,煤,,155.800,0.400,12-6,泥岩,6煤,172.070,0.600,BK014,5下煤,5下煤,133.250,1.420,12-1,炭质泥岩,5煤,103.010,0.550,12-2,细粒砂岩,,99.220,1.100,,,,,,740,泥岩,6煤,141.590,0.120,12-3,6煤,6煤,166.990,0.250,700,5煤,5煤,56.960,0.100
12-4,泥岩,,161.360,5.560,12-6,6煤,6煤,177.270,5.200,BK014,含炭泥岩,5下煤,133.540,0.290,12-1,5煤,5煤,103.410,0.400,12-2,粉砂岩,,100.670,1.450,,,,,,740,6煤,6煤,142.690,1.100,12-3,泥岩,6煤,167.290,0.300,700,泥岩,5煤,57.040,0.080
12-4,细粒砂岩,,164.070,2.710,12-6,泥岩,6煤,177.770,0.500,BK014,5下煤,5下煤,134.750,1.210,12-1,泥岩,5煤,104.160,0.750,12-2,泥岩,,111.190,10.520,,,,,,740,泥岩,6煤,142.810,0.120,12-3,6煤,6煤,168.590,1.300,700,5煤,5煤,57.290,0.250
12-4,泥岩,,169.070,5.000,12-6,6煤,6煤,188.170,10.400,BK014,泥岩,,149.490,14.740,12-1,5煤,5煤,107.230,3.070,12-2,中粒砂岩,,112.430,1.240,,,,,,740,6煤,6煤,143.020,0.210,12-3,泥岩,,183.520,14.930,700,泥岩,5煤,57.360,0.070
12-4,煤,,169.470,0.400,12-6,泥岩,6煤,188.270,0.100,BK014,6-1煤,6-1煤,150.720,1.230,12-1,泥岩,,107.830,0.600,12-2,泥岩,,116.430,4.000,,,,,,740,泥岩,6煤,143.150,0.130,,,,,,700,5煤,5煤,58.190,0.830
12-4,泥岩,,171.880,2.410,12-6,6煤,6煤,188.970,0.700,BK014,泥岩,,155.630,4.910,12-1,中粒砂岩,,109.830,2.000,12-2,炭质泥岩,,117.830,1.400,,,,,,740,6煤,6煤,157.600,14.450,,,,,,700,泥岩,5煤,58.300,0.110
12-4,煤,,172.280,0.400,12-6,泥岩,6煤,189.570,0.600,BK014,6煤,6煤,156.290,0.660,12-1,泥岩,,121.330,11.500,12-2,泥岩,,119.230,1.400,,,,,,740,炭质泥岩,6煤,157.750,0.150,,,,,,700,5煤,5煤,58.880,0.580
