XC01,5煤,5煤,34.900,0.740,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,,61.800,0.450,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，属暗淡型煤。,BK220,煤,5煤,49.660,0.210,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,中砂,,142.650,1.600,灰白色，中粒砂状结构，层状，成分石英、长石为主，分选中等，泥质 胶结，半坚硬
XC01,含炭泥岩,5煤,35.340,0.440,,BK221,泥岩,,79.050,17.250,  灰色，深灰色，泥质结构，块状构造，断口参差状-平坦状，风化后呈碎块状，松软。,BK220,泥岩,5煤,49.830,0.170,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,BK219,泥岩,,146.700,4.050,深灰色，厚层状，块状，细腻，致密，含炭屑，平行层理，平坦状断口 ，半坚硬。
XC01,5煤,5煤,35.660,0.320,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5下煤,80.890,1.840,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。煤层,BK220,煤,5煤,50.290,0.460,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，半坚硬。其中有泥岩夹矸8层，炭质泥岩夹矸2层。,BK219,粉砂岩,,148.200,1.500,灰色，粉砂状结构，厚层状结构，泥质胶结，均匀层理，局部泥质含量 较高。
XC01,泥岩,5煤,35.980,0.320,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,泥岩,5下煤,81.240,0.350,  灰色，深灰色，泥质结构，块状构造，断口参差状-平坦状，风化后呈碎块状，松软。,BK220,泥岩,,53.700,3.410,  深灰色，泥质结构，块状，断口不参差状，合炭化植物碎屑及茎叶化石，风化后呈碎块状。,,,,,,
XC01,5煤,5煤,37.320,1.340,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,煤,5下煤,81.970,0.730,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤，夹泥岩夹矸薄层，半坚硬。煤层,BK220,中粒砂岩,,58.900,5.200,  灰白色，中粒砂状结构，厚层状构造，成分以石英为主，长石次之，云母及暗色矿物少量，分选差，钙质胶结，致密，坚硬。,,,,,,
XC01,泥岩,5煤,37.410,0.090,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,粉砂岩,,84.400,2.430,  灰色，粉砂状结构，厚层状构造，泥质胶结，合炭化植物碎屑及茎叶化石，局部泥质含量较高，松软。,BK220,泥岩,,71.000,12.100,  灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，风化后呈页片状，夹粉砂岩薄层。,,,,,,
XC01,5煤,5煤,37.760,0.350,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,泥岩,,96.570,12.170,  深灰色，黑灰色，泥质结构，块状构造，断口平坦状，风化后呈页片状，半坚硬。,BK220,粉砂岩,,71.900,0.900,  灰色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，胶结差，易碎。,,,,,,
XC01,砂质泥岩,5煤,37.850,0.090,灰绿色，泥质结构，块状构造，泥质胶结，为煤的底板。,BK221,煤,6煤,121.500,24.930,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，弱丝绢光泽，断口平坦状，风化易碎，污手，属暗淡型煤。,BK220,泥岩,,86.890,14.990,  深灰色，泥质结构，块状构造，断口平坦状，含炭化植物碎屑及茎叶化石，局部具滑面。,,,,,,
XC01,5煤,5煤,38.750,0.900,黑褐色，条带状结构，层状构造，断口平整，固结程度好，多 呈短柱状，条痕呈褐色，弱沥青光泽。,BK221,泥岩,,129.690,8.190,  深灰色，泥质结构，块状构造，断口平坦状，含少量炭屑，局部夹细砂岩薄层，半坚硬。,BK220,煤,5下煤,87.860,0.970,  黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，暗淡光泽，呈褐色条痕，断口平坦状，污手，属暗淡型煤。其中有泥岩夹矸1层。,,,,,,
XC01,泥岩,5煤,38.850,0.100,灰绿色，泥质结构，层状构造。局部富含炭屑。,BK221,粉砂岩,,132.000,2.310,  灰白色，粉砂状结构，厚层状构造，泥质胶结，均匀层理，合炭屑及植物茎叶化石，半坚硬。,BK220,炭质泥岩,5下煤,88.150,0.290,黑色，泥质结构，块状，阶梯状断口，含丝炭，夹煤线，松软,,,,,,
