15-6,5煤,5煤,61.260,0.810,15-5,泥岩,5煤,44.540,0.200,15-4,炭质泥岩,,43.180,1.000,15-3,泥岩,5煤,47.360,0.400,15-2,泥岩,,108.940,3.900,15-1,泥岩,,113.700,4.450,15-7,5煤,5煤,63.270,0.330,15-8,5煤,5煤,67.400,0.600,BK027,泥岩,5煤,62.510,0.390,BK026,炭质泥岩,5煤,61.600,0.330,BK025,泥岩,5煤,69.930,0.460,BK024,含炭泥岩,5煤,73.830,0.510,BK023,5煤,5煤,82.360,0.450,BK022,煤,,88.600,0.900
15-6,泥岩,5煤,61.500,0.240,15-5,5煤,5煤,46.090,1.550,15-4,泥岩,,52.080,8.900,15-3,5煤,5煤,47.760,0.400,15-2,6-1煤,6-1煤,109.340,0.400,15-1,煤,,114.100,0.400,15-7,泥岩,5煤,63.520,0.250,15-8,泥岩,,71.900,4.500,BK027,5煤,5煤,63.470,0.960,BK026,5煤,5煤,64.310,2.710,BK025,5煤,5煤,71.290,1.360,BK024,5煤,5煤,74.570,0.740,BK023,泥岩,5煤,82.790,0.430,BK022,泥岩,,90.230,1.630
15-6,5煤,5煤,62.300,0.800,15-5,泥岩,5煤,46.340,0.250,15-4,砂质泥岩,,60.130,8.050,15-3,泥岩,5煤,48.170,0.410,15-2,泥岩,6-1煤,109.540,0.200,15-1,泥岩,,115.000,0.900,15-7,5煤,5煤,66.070,2.550,15-8,粉砂岩,,77.180,5.280,BK027,含炭泥岩,5煤,63.670,0.200,BK026,炭质泥岩,5煤,64.880,0.570,BK025,泥岩,5煤,71.490,0.200,BK024,炭质泥岩,5煤,74.790,0.220,BK023,5煤,5煤,86.310,3.520,BK022,5煤,5煤,90.770,0.540
15-6,泥岩,5煤,62.500,0.200,15-5,5煤,5煤,47.840,1.500,15-4,泥岩,,63.640,3.510,15-3,5煤,5煤,49.870,1.700,15-2,6-1煤,6-1煤,109.740,0.200,15-1,煤,,115.500,0.500,15-7,泥岩,5煤,66.470,0.400,15-8,泥岩,,81.960,4.780,BK027,5煤,5煤,64.260,0.590,BK026,5煤,5煤,67.770,2.890,BK025,5煤,5煤,73.040,1.550,BK024,5煤,5煤,77.180,2.390,BK023,含炭泥岩,5煤,86.690,0.380,BK022,泥岩,5煤,91.090,0.320
15-6,5煤,5煤,63.160,0.660,15-5,泥岩,,48.090,0.250,15-4,炭质泥岩,,65.140,1.500,15-3,泥岩,5煤,50.370,0.500,15-2,泥岩,6-1煤,110.140,0.400,15-1,泥岩,,117.390,1.890,15-7,5煤,5煤,66.570,0.100,15-8,5下煤,5下煤,84.360,2.400,BK027,含炭泥岩,5煤,64.520,0.260,BK026,炭质泥岩,5煤,68.190,0.420,BK025,炭质泥岩,5煤,73.560,0.520,BK024,含炭泥岩,5煤,77.680,0.500,BK023,5煤,5煤,90.200,3.510,BK022,5煤,5煤,92.930,1.840
15-6,泥岩,5煤,64.250,1.090,15-5,粉砂岩,,54.450,6.360,15-4,5下煤,5下煤,68.160,3.020,15-3,5煤,5煤,52.770,2.400,15-2,6-1煤,6-1煤,110.640,0.500,15-1,煤,,117.690,0.300,15-7,泥岩,5煤,66.720,0.150,15-8,泥岩,,96.220,11.860,BK027,5煤,5煤,66.550,2.030,BK026,5煤,5煤,69.780,1.590,BK025,5煤,5煤,74.450,0.890,BK024,5煤,5煤,81.200,3.520,BK023,炭质泥岩,5煤,90.880,0.680,BK022,泥岩,5煤,93.260,0.330
15-6,5煤,5煤,64.810,0.560,15-5,细粒砂岩,,56.450,2.000,15-4,泥岩,,77.300,9.140,15-3,粉砂岩,,53.770,1.000,15-2,泥岩,,116.490,5.850,15-1,泥岩,,119.940,2.250,15-7,5煤,5煤,69.470,2.750,15-8,6上煤,6上煤,98.380,2.160,BK027,含炭泥岩,5煤,66.820,0.270,BK026,炭质泥岩,5煤,70.000,0.220,BK025,炭质泥岩,5煤,74.680,0.230,BK024,含炭泥岩,5煤,81.660,0.460,BK023,5煤,5煤,92.130,1.250,BK022,5煤,5煤,94.240,0.980
15-6,泥岩,5煤,65.070,0.260,15-5,粉砂岩,,59.350,2.900,15-4,砂质泥岩,,80.100,2.800,15-3,砂质泥岩,,61.380,7.610,15-2,6煤,6煤,121.590,5.100,15-1,6-1煤,6-1煤,120.490,0.550,15-7,泥岩,5煤,69.570,0.100,15-8,细粒砂岩,,104.380,6.000,BK027,5煤,5煤,67.640,0.820,BK026,5煤,5煤,72.010,2.010,BK025,5煤,5煤,75.220,0.540,BK024,5煤,5煤,82.500,0.840,BK023,炭质泥岩,5煤,92.390,0.260,BK022,泥岩,5煤,95.240,1.000
15-6,5煤,5煤,65.890,0.820,15-5,泥岩,,66.750,7.400,15-4,6上煤,6上煤,80.500,0.400,15-3,粉砂岩,,62.880,1.500,15-2,泥岩,6煤,121.990,0.400,15-1,泥岩,,127.390,6.900,15-7,5煤,5煤,69.770,0.200,15-8,砂质泥岩,,116.790,12.410,BK027,含炭泥岩,5煤,67.840,0.200,BK026,炭质泥岩,5煤,72.240,0.230,BK025,炭质泥岩,5煤,75.410,0.190,BK024,含炭泥岩,5煤,82.730,0.230,BK023,5煤,5煤,92.870,0.480,BK022,5煤,5煤,95.570,0.330
15-6,泥岩,5煤,66.480,0.590,15-5,5下煤,5下煤,67.350,0.600,15-4,泥岩,6上煤,81.000,0.500,15-3,砂质泥岩,,67.180,4.300,15-2,6煤,6煤,147.140,25.150,15-1,6煤,6煤,132.490,5.100,15-7,泥岩,5煤,70.070,0.300,15-8,粉砂岩,,134.940,18.150,BK027,5煤,5煤,68.380,0.540,BK026,5煤,5煤,73.130,0.890,BK025,5煤,5煤,77.650,2.240,BK024,5煤,5煤,83.290,0.560,BK023,含炭泥岩,5煤,93.060,0.190,BK022,泥岩,5煤,95.800,0.230
