2-1,6-1煤,6-1煤,222.020,0.300,2-2,6煤,6煤,269.980,0.200,291,5煤,5煤,115.580,0.180,196,泥岩,5煤,105.340,0.210,290,泥岩,5煤,78.310,0.170,181,12煤,12煤,614.820,0.190
2-1,泥岩,6-1煤,222.820,0.800,2-2,泥岩,6煤,270.230,0.250,291,泥岩,5煤,115.670,0.090,196,5煤,5煤,105.680,0.340,290,5煤,5煤,79.640,1.330,181,泥岩,12煤,614.980,0.160
2-1,6-1煤,6-1煤,223.020,0.200,2-2,6煤,6煤,270.330,0.100,291,5煤,5煤,115.910,0.240,196,泥岩,5煤,106.240,0.560,290,泥岩,,115.190,35.550,181,12煤,12煤,615.100,0.120
2-1,泥岩,6-1煤,228.720,5.700,2-2,泥岩,6煤,283.800,13.470,291,泥岩,5煤,116.170,0.260,196,5煤,5煤,106.500,0.260,290,6上煤,6上煤,115.320,0.130,181,砂质泥岩,12煤,615.570,0.470
2-1,6-1煤,6-1煤,229.020,0.300,2-2,6煤,6煤,287.260,3.460,291,5煤,5煤,116.580,0.410,196,泥岩,5煤,106.830,0.330,290,泥岩,6上煤,115.480,0.160,181,12煤,12煤,616.170,0.600
2-1,泥岩,,238.510,9.490,2-2,泥岩,6煤,287.610,0.350,291,泥岩,5煤,116.810,0.230,196,5煤,5煤,107.030,0.200,290,6上煤,6上煤,120.480,5.000,181,泥岩,,767.530,151.360
2-1,粗砾岩,,239.810,1.300,2-2,6煤,6煤,288.010,0.400,291,5煤,5煤,117.060,0.250,196,泥岩,5煤,107.130,0.100,290,泥岩,6上煤,120.980,0.500,,,,,
2-1,细砾岩,,244.010,4.200,2-2,泥岩,6煤,291.160,3.150,291,泥岩,5煤,117.240,0.180,196,5煤,5煤,107.280,0.150,290,6上煤,6上煤,121.480,0.500,,,,,
2-1,细粒砂岩,,246.510,2.500,2-2,6煤,6煤,291.710,0.550,291,5煤,5煤,117.400,0.160,196,泥岩,5煤,107.380,0.100,290,泥岩,,122.150,0.670,,,,,
2-1,泥岩,,247.360,0.850,2-2,泥岩,6煤,294.480,2.770,291,泥岩,5煤,117.630,0.230,196,5煤,5煤,108.030,0.650,290,煤,,122.300,0.150,,,,,
2-1,中砾岩,,249.360,2.000,2-2,6煤,6煤,295.680,1.200,291,5煤,5煤,118.000,0.370,196,泥岩,5煤,108.360,0.330,290,中粒砂岩,,144.760,22.460,,,,,
2-1,粗砾岩,,251.660,2.300,2-2,泥岩,6煤,315.650,19.970,291,泥岩,5煤,118.560,0.560,196,5煤,5煤,109.140,0.780,290,6-1煤,6-1煤,146.230,1.470,,,,,
2-1,砂质泥岩,,255.060,3.400,2-2,6煤,6煤,318.110,2.460,291,5煤,5煤,118.670,0.110,196,泥岩,5煤,109.500,0.360,290,泥岩,6-1煤,146.780,0.550,,,,,
2-1,粉砂岩,,268.550,13.490,2-2,泥岩,6煤,318.310,0.200,291,泥岩,5煤,118.800,0.130,196,5煤,5煤,109.610,0.110,290,6-1煤,6-1煤,151.640,4.860,,,,,
2-1,泥岩,,271.320,2.770,2-2,6煤,6煤,319.210,0.900,291,5煤,5煤,118.950,0.150,196,泥岩,5煤,109.730,0.120,290,泥岩,6-1煤,151.730,0.090,,,,,
2-1,粗砾岩,,273.320,2.000,2-2,泥岩,6煤,319.810,0.600,291,泥岩,5煤,119.160,0.210,196,5煤,5煤,109.860,0.130,290,6-1煤,6-1煤,152.300,0.570,,,,,
2-1,砂质泥岩,,278.020,4.700,2-2,6煤,6煤,320.120,0.310,291,5煤,5煤,119.320,0.160,196,泥岩,5煤,109.960,0.100,290,泥岩,,153.830,1.530,,,,,
2-1,泥岩,,295.740,17.720,2-2,泥岩,6煤,320.370,0.250,291,泥岩,5煤,119.620,0.300,196,5煤,5煤,111.000,1.040,290,煤,,154.000,0.170,,,,,
2-1,粉砂岩,,300.610,4.870,2-2,6煤,6煤,320.770,0.400,291,5煤,5煤,119.750,0.130,196,泥岩,5煤,111.320,0.320,290,泥岩,,157.220,3.220,,,,,
2-1,中砾岩,,310.530,9.920,2-2,泥岩,6煤,321.270,0.500,291,泥岩,5煤,119.900,0.150,196,5煤,5煤,112.040,0.720,290,6煤,6煤,158.390,1.170,,,,,
2-1,泥岩,,313.080,2.550,2-2,6煤,6煤,321.770,0.500,291,5煤,5煤,120.140,0.240,196,泥岩,5煤,112.510,0.470,290,泥岩,6煤,158.560,0.170,,,,,
2-1,6煤,6煤,313.480,0.400,2-2,泥岩,6煤,322.520,0.750,291,泥岩,5煤,120.510,0.370,196,5煤,5煤,112.680,0.170,290,6煤,6煤,159.110,0.550,,,,,
2-1,泥岩,,318.050,4.570,2-2,6煤,6煤,324.120,1.600,291,5煤,5煤,120.610,0.100,196,泥岩,5煤,113.070,0.390,290,泥岩,6煤,160.610,1.500,,,,,
2-1,中砾岩,,332.840,14.790,2-2,泥岩,6煤,324.420,0.300,291,泥岩,5煤,121.300,0.690,196,5煤,5煤,113.190,0.120,290,6煤,6煤,160.770,0.160,,,,,
2-1,泥岩,,334.070,1.230,2-2,6煤,6煤,328.530,4.110,291,5煤,5煤,121.450,0.150,196,泥岩,5煤,113.360,0.170,290,泥岩,6煤,160.970,0.200,,,,,
2-1,煤,,334.470,0.400,2-2,泥岩,6煤,328.780,0.250,291,粉砂岩,5煤,123.120,1.670,196,5煤,5煤,114.190,0.830,290,6煤,6煤,175.190,14.220,,,,,
2-1,中砾岩,,377.620,43.150,2-2,6煤,6煤,332.230,3.450,291,5煤,5煤,123.320,0.200,196,泥岩,5煤,114.510,0.320,290,泥岩,6煤,178.650,3.460,,,,,
,,,,,2-2,泥岩,6煤,337.630,5.400,291,泥岩,5煤,123.610,0.290,196,5煤,5煤,114.810,0.300,290,6煤,6煤,179.110,0.460,,,,,
,,,,,2-2,6煤,6煤,338.550,0.920,291,5煤,5煤,123.820,0.210,196,泥岩,5煤,115.180,0.370,290,泥岩,6煤,179.330,0.220,,,,,
,,,,,2-2,泥岩,6煤,338.810,0.260,291,泥岩,5煤,124.510,0.690,196,5煤,5煤,115.420,0.240,290,6煤,6煤,179.680,0.350,,,,,
,,,,,2-2,6煤,6煤,339.720,0.910,291,5煤,5煤,124.660,0.150,196,泥岩,5煤,115.520,0.100,290,泥岩,6煤,180.210,0.530,,,,,
,,,,,2-2,泥岩,6煤,340.290,0.570,291,泥岩,5煤,125.460,0.800,196,5煤,5煤,116.090,0.570,290,6煤,6煤,181.030,0.820,,,,,
,,,,,2-2,6煤,6煤,340.510,0.220,291,5煤,5煤,126.310,0.850,196,泥岩,5煤,116.550,0.460,290,泥岩,6煤,181.210,0.180,,,,,
,,,,,2-2,泥岩,6煤,340.780,0.270,291,泥岩,5煤,126.770,0.460,196,5煤,5煤,116.700,0.150,290,6煤,6煤,181.900,0.690,,,,,
,,,,,2-2,6煤,6煤,341.330,0.550,291,5煤,5煤,126.910,0.140,196,泥岩,5煤,116.980,0.280,290,泥岩,6煤,184.340,2.440,,,,,
,,,,,2-2,泥岩,6煤,341.880,0.550,291,泥岩,5煤,127.110,0.200,196,5煤,5煤,118.170,1.190,290,6煤,6煤,184.750,0.410,,,,,
,,,,,2-2,6煤,6煤,342.720,0.840,291,5煤,5煤,127.210,0.100,196,泥岩,5煤,118.480,0.310,290,泥岩,6煤,184.850,0.100,,,,,
,,,,,2-2,泥岩,6煤,343.620,0.900,291,泥岩,5煤,127.310,0.100,196,5煤,5煤,119.920,1.440,290,6煤,6煤,185.000,0.150,,,,,
,,,,,2-2,6煤,6煤,344.290,0.670,291,5煤,5煤,127.460,0.150,196,泥岩,5煤,120.120,0.200,290,泥岩,6煤,185.230,0.230,,,,,
,,,,,2-2,泥岩,6煤,344.830,0.540,291,泥岩,5煤,127.620,0.160,196,5煤,5煤,120.970,0.850,290,6煤,6煤,185.910,0.680,,,,,
,,,,,2-2,6煤,6煤,346.390,1.560,291,5煤,5煤,127.870,0.250,196,泥岩,5煤,121.720,0.750,290,泥岩,6煤,186.230,0.320,,,,,
,,,,,2-2,泥岩,6煤,346.640,0.250,291,泥岩,5煤,127.980,0.110,196,5煤,5煤,122.160,0.440,290,6煤,6煤,186.940,0.710,,,,,
,,,,,2-2,6煤,6煤,350.000,3.360,291,5煤,5煤,128.080,0.100,196,泥岩,5煤,122.260,0.100,290,泥岩,,206.810,19.870,,,,,
,,,,,2-2,细粒砂岩,,400.070,50.070,291,粉砂岩,5煤,128.980,0.900,196,5煤,5煤,128.500,6.240,290,6下煤,6下煤,207.020,0.210,,,,,
,,,,,,,,,,291,5煤,5煤,129.280,0.300,196,泥岩,5煤,128.810,0.310,290,泥岩,6下煤,207.680,0.660,,,,,
,,,,,,,,,,291,泥岩,5煤,130.420,1.140,196,5煤,5煤,129.460,0.650,290,6下煤,6下煤,207.930,0.250,,,,,
,,,,,,,,,,291,5煤,5煤,130.620,0.200,196,泥岩,5煤,129.570,0.110,290,泥岩,6下煤,211.520,3.590,,,,,
,,,,,,,,,,291,砂质泥岩,5煤,135.570,4.950,196,5煤,5煤,129.670,0.100,290,6下煤,6下煤,212.390,0.870,,,,,
,,,,,,,,,,291,5煤,5煤,136.030,0.460,196,泥岩,,170.080,40.410,290,泥岩,6下煤,212.790,0.400,,,,,
,,,,,,,,,,291,泥岩,5煤,137.010,0.980,196,6-1煤,6-1煤,173.300,3.220,290,6下煤,6下煤,212.990,0.200,,,,,
,,,,,,,,,,291,5煤,5煤,137.670,0.660,196,泥岩,6-1煤,173.400,0.100,290,泥岩,6下煤,213.170,0.180,,,,,
,,,,,,,,,,291,泥岩,5煤,138.990,1.320,196,6-1煤,6-1煤,174.110,0.710,290,6下煤,6下煤,213.330,0.160,,,,,
,,,,,,,,,,291,5煤,5煤,139.990,1.000,196,泥岩,6-1煤,174.330,0.220,290,泥岩,6下煤,213.780,0.450,,,,,
,,,,,,,,,,291,泥岩,5煤,140.870,0.880,196,6-1煤,6-1煤,177.530,3.200,290,6下煤,6下煤,215.230,1.450,,,,,
,,,,,,,,,,291,5煤,5煤,140.970,0.100,196,泥岩,6-1煤,178.790,1.260,290,粉砂岩,,271.130,55.900,,,,,
,,,,,,,,,,291,泥岩,5煤,142.730,1.760,196,6-1煤,6-1煤,179.720,0.930,290,7煤,7煤,271.290,0.160,,,,,
