BK148,煤,6煤,167.83,171.510,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,171.51,171.760,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,171.76,174.470,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,174.47,174.930,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,174.93,177.740,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,177.74,178.180,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,178.18,179.900,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,炭质泥岩,6煤,179.9,181.400,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。
BK148,煤,6煤,181.4,189.590,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,189.59,190.070,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,190.07,194.950,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,炭质泥岩,6煤,194.95,195.450,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。
BK148,煤,6煤,195.45,197.020,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,炭质泥岩,6煤,197.02,197.350,  灰黑色，块状，含炭屑，夹煤线，污手，易碎。
BK148,煤,6煤,197.35,198.890,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,198.89,199.360,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
BK148,煤,6煤,199.36,199.740,黑褐色，块状，暗煤为主，丝炭次之，夹亮煤条带，弱丝绢光泽，呈褐 色条痕，断口平坦状，污手，风化易碎，属暗淡型煤，其中有泥岩夹矸6层 ，炭质泥岩夹矸3层。
BK148,泥岩,6煤,199.74,200.060,灰黑色，泥质结构，块状构造，断口平坦状，含少量炭屑，风化易碎。
